"ruleId","ruleType","fieldId","description","noticeSubtype","condition","expression","target","severity","cvsStage"
"BR-BT-00001-0193","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type .","E4","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0194","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type .","T02","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0195","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Contract award notice – general directive, light regime.","33","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0196","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Contract award notice – sectoral directive, light regime.","34","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0197","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Concession award notice – concessions directive, light regime.","35","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0198","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Design contest result notice – general directive, design.","36","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0199","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Design contest result notice – sectoral directive, design.","37","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0200","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Contract modification notice – general directive.","38","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0201","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Contract modification notice – sectoral directive.","39","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0202","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Contract modification notice – concessions directive.","40","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
