KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-16,1.6578,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-17,1.6556,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-18,1.6567,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-19,1.6622,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-22,1.6517,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-23,1.6536,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-24,1.6421,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-25,1.6415,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-26,1.6392,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-29,1.6322,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-04-30,1.6423,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-05-02,1.6386,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-05-03,1.633,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-05-06,1.6248,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-05-07,1.6297,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-05-08,1.6374,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-05-09,1.6299,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-05-10,1.632,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-05-13,1.6305,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-05-14,1.6329,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-05-15,1.6308,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-05-16,1.629,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2024-05-17,1.6281,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Australian dollar/Euro,"ECB reference exchange rate, Australian dollar/Euro, 2:15 pm (C.E.T.)",AUD,0
